stock_code,open,high,low,close,pre_close,change,pct_chg,volume,amount,adj_factor,symbol,stock_name,area,industry,list_date
601398.SH,14.804772999999999,15.157828,14.804772999999999,15.110754,6.3,0.12,1.9048,3502301.55,2236501.392,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,15.110754,15.251976,14.945994999999998,15.204901999999999,6.42,0.04,0.6231,2656574.2,1706372.38,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,15.157828,15.228438999999998,14.945994999999998,15.134291,6.46,-0.03,-0.4644,2673110.89,1712684.37,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,15.110754,15.416735,15.087216999999999,15.369661,6.43,0.1,1.5552,3232496.44,2103729.87,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,15.369661,15.463809,15.157828,15.275513,6.53,-0.04,-0.6126,3147225.13,2043853.154,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,15.251976,15.275513,14.59294,14.640013999999999,6.49,-0.27,-4.1602,5573147.46,3505246.234,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.545865999999998,14.687088,14.028051999999999,14.075126000000001,6.22,-0.24,-3.8585,8807823.47,5320880.799,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,13.88683,14.1222,13.839756,13.980978,5.98,-0.04,-0.6689,5682401.73,3379236.044,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,13.957441,14.004515,13.369015999999998,13.557312,5.94,-0.18,-3.0303,6486401.29,3742967.424,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,13.463163999999999,13.604386,13.321942,13.439627,5.76,-0.05,-0.8681,3923314.35,2240822.277,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,13.41609,13.486701,13.180719999999999,13.251330999999999,5.71,-0.08,-1.4011,3835307.75,2163978.358,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,13.251330999999999,13.486701,13.227794,13.274867999999998,5.63,0.01,0.1776,2906968.12,1651910.319,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,13.251330999999999,13.298405,12.968886999999999,13.204257,5.64,-0.03,-0.5319,2821267.04,1576623.851,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,13.204257,13.463163999999999,13.180719999999999,13.345479,5.61,0.06,1.0695,3683432.32,2088218.472,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,13.321942,13.345479,12.94535,13.039498,5.67,-0.13,-2.2928,3597633.84,1999982.571,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,12.968886999999999,13.086571999999999,12.827665,13.039498,5.54,0.0,0.0,2868535.63,1582711.061,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,13.039498,13.133645999999999,12.992423999999998,13.086571999999999,5.54,0.02,0.361,2340486.96,1301691.998,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,13.110109,13.369015999999998,13.110109,13.369015999999998,5.56,0.12,2.1583,2468394.04,1391412.407,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,13.392553,13.439627,13.133645999999999,13.298405,5.68,-0.03,-0.5282,2809968.06,1583072.175,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,13.321942,13.392553,13.227794,13.345479,5.65,0.02,0.354,2828323.21,1602117.689,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,13.321942,13.510238,13.227794,13.463163999999999,5.67,0.05,0.8818,2270376.87,1292978.895,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,13.533774999999999,14.1222,13.486701,14.1222,5.72,0.28,4.8951,6052048.99,3559231.107,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.334033,14.640013999999999,14.051588999999998,14.216348,6.0,0.04,0.6667,6298208.29,3830867.833,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.216348,14.616477,14.1222,14.59294,6.04,0.16,2.649,5216743.73,3190823.779,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.710625,14.922457999999999,13.933904,14.145736999999999,6.2,-0.19,-3.0645,6872092.71,4133669.632,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.145736999999999,14.851847,13.722071,14.545865999999998,6.01,0.17,2.8286,16161741.83,9720369.051,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,15.29905,15.675642,14.216348,14.404644,6.18,-0.06,-0.9709,16882261.72,10602986.873,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.263421999999998,14.522329,14.075126000000001,14.216348,6.12,-0.08,-1.3072,10090717.81,6133595.303,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.239885,15.06368,14.216348,14.757698999999999,6.04,0.23,3.8079,10915281.47,6791738.966,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.710625,15.040142999999999,14.59294,14.757698999999999,6.27,0.0,0.0,5299528.28,3337751.104,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.875384,15.29905,14.875384,15.228438999999998,6.27,0.2,3.1898,7899211.18,5078881.017,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,15.134291,15.181365,14.734162,14.734162,6.47,-0.21,-3.2457,4927691.57,3131385.265,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.663551,15.06368,14.640013999999999,14.969532000000001,6.26,0.1,1.5974,4146145.8,2634359.939,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.945994999999998,15.06368,14.804772999999999,14.804772999999999,6.36,-0.07,-1.1006,3280813.17,2079129.206,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.804772999999999,14.969532000000001,14.616477,14.875384,6.29,0.03,0.4769,5144521.81,3236239.707,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.804772999999999,14.804772999999999,14.451717999999998,14.498792,6.32,-0.16,-2.5316,5684649.07,3510955.376,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.522329,14.616477,14.381107,14.451717999999998,6.16,-0.02,-0.3247,4312714.79,2648200.619,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.451717999999998,14.498792,14.381107,14.451717999999998,6.14,0.0,0.0,3068544.79,1883772.583,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.428180999999999,14.59294,14.404644,14.498792,6.14,0.02,0.3257,2887894.77,1778302.541,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.475255,14.522329,14.357569999999999,14.404644,6.16,-0.04,-0.6494,2845289.99,1742297.128,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.381107,14.381107,14.192811,14.286959,6.12,-0.05,-0.817,3295363.71,1995022.237,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.286959,14.381107,14.239885,14.263421999999998,6.07,-0.01,-0.1647,2938607.04,1785953.207,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.239885,14.310495999999999,14.1222,14.145736999999999,6.06,-0.05,-0.8251,3054120.04,1839999.984,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.216348,14.357569999999999,14.145736999999999,14.216348,6.01,0.03,0.4992,3052879.98,1844805.161,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.216348,14.475255,14.192811,14.475255,6.04,0.11,1.8212,4512379.25,2760339.812,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.475255,14.475255,14.239885,14.428180999999999,6.15,-0.02,-0.3252,3180604.58,1937583.73,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.357569999999999,14.475255,14.334033,14.475255,6.13,0.02,0.3263,3125107.81,1914855.699,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.428180999999999,14.475255,14.286959,14.334033,6.15,-0.06,-0.9756,3450231.15,2106283.783,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.310495999999999,14.475255,14.263421999999998,14.475255,6.09,0.06,0.9852,3794487.63,2318559.913,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.475255,14.522329,14.357569999999999,14.381107,6.15,-0.04,-0.6504,3300424.36,2021389.761,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.310495999999999,14.334033,14.169273999999998,14.216348,6.11,-0.07,-1.1457,3987301.71,2410772.377,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.216348,14.286959,14.1222,14.1222,6.04,-0.04,-0.6623,3292741.55,1984275.396,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.1222,14.286959,14.075126000000001,14.216348,6.0,0.04,0.6667,3438857.92,2075207.458,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.192811,14.357569999999999,14.145736999999999,14.286959,6.04,0.03,0.4967,3735264.84,2271181.11,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.263421999999998,14.381107,14.192811,14.239885,6.07,-0.02,-0.3295,3845232.75,2337086.119,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.310495999999999,14.687088,14.286959,14.569403,6.05,0.14,2.314,6932424.8,4282442.406,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.545865999999998,14.640013999999999,14.286959,14.475255,6.19,-0.04,-0.6462,4294987.1,2648795.351,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.428180999999999,14.545865999999998,14.404644,14.451717999999998,6.15,-0.01,-0.1626,2682420.57,1649596.256,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.428180999999999,14.475255,14.381107,14.428180999999999,6.14,-0.01,-0.1629,1809107.03,1107466.761,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.451717999999998,14.475255,14.239885,14.239885,6.13,-0.08,-1.3051,2978202.81,1814510.786,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.263421999999998,14.428180999999999,14.239885,14.286959,6.05,0.02,0.3306,2903722.07,1770698.664,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.286959,14.545865999999998,14.239885,14.498792,6.07,0.09,1.4827,3300041.49,2021400.613,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.475255,14.640013999999999,14.451717999999998,14.59294,6.16,0.04,0.6494,2883173.76,1783808.194,2.3537,601398,工商银行,北京,银行,20061027
